PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
5,6,'210195,50067,AGATE PASS SEA PENS,AGATE PASS SEA PENS,MINTER CR    15.0048,2000,66,M-ssdnph
5,44,'210196,44656,ELLIOTT BAY TRIBAL NP,ELLIOTT BAY TRIBAL NP,BIG SOOS CR  09.0072,1999,104,M-are10h
5,36,'210197,45582,CRISP CR     09.0113,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,1999,96,M-greenh
10,4,'210198,69441,SALMON R     21.0139,SALMON R FISH CULTUR,SALMON R     21.0139,1999,142,M-quetfh
6,8,'210220,79438,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,LOWER ELWHA  18.0274,1998,114,M-elwhah
6,8,'210222,72867,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,ELWHA R      18.0272,2001,114,M-elwhah
5,36,'210224,47864,CRISP CR     09.0113,KETA CREEK COMPLEX,CRISP CR     09.0113,1998,96,M-greenh
10,4,'210227,68440,SALMON R     21.0139,SALMON R FISH CULTUR,SALMON R     21.0139,1998,142,M-quetfh
10,4,'210228,9889,MATHENY CR   21.0165,SALMON R FISH CULTUR,QUEETS R     21.0016,1999,142,M-quetfh
10,4,'210229,9558,NORTH CR     21.0202,SALMON R FISH CULTUR,QUEETS R-UPR 21.0016,1999,142,M-quetfh
